
Predictions were generated on 18-Feb-2025 at 21:38:06 using FAST.Farm, compiled as a 64-bit application using single precision
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm              input       - file, using two turbines separated by 3D downstream and an offset of 30m, turbulent inflow, yaw maneuver for WT1

Time                	RtVAmbT1            	YawErrT1            	RtSkewT1            	AziSkewT1           	RtSkewFiltT1        	AziSkewFiltT1       	RtGamCurlT1         	RtVAmbFiltT1        	RtCtAvgT1           	WkAxsXT1D1          	WkAxsYT1D1          	WkAxsZT1D1          	WkPosXT1D1          	WkPosYT1D1          	WkPosZT1D1          
(s)                 	(m/s)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	INVALID      	(m/s)        	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          
   88.0000	 6.788E+00	-2.950E+01	 3.058E+01	-1.453E+01	 3.069E+01	-1.347E+01	 0.000E+00	 6.772E+00	 0.000E+00	 8.675E-01	 4.792E-01	-1.333E-01	 8.141E+01	-5.983E+00	 9.250E+01
   90.7500	 6.772E+00	-2.910E+01	 2.999E+01	-1.337E+01	 3.066E+01	-1.378E+01	 0.000E+00	 6.777E+00	 0.000E+00	 8.669E-01	 4.803E-01	-1.334E-01	 8.159E+01	-6.293E+00	 9.246E+01
   93.5000	 6.766E+00	-2.734E+01	 2.809E+01	-1.279E+01	 3.046E+01	-1.366E+01	 0.000E+00	 6.775E+00	 0.000E+00	 8.664E-01	 4.812E-01	-1.331E-01	 8.164E+01	-6.358E+00	 9.262E+01
   96.2500	 6.760E+00	-2.795E+01	 2.877E+01	-1.317E+01	 2.977E+01	-1.341E+01	 0.000E+00	 6.773E+00	 0.000E+00	 8.661E-01	 4.819E-01	-1.328E-01	 8.176E+01	-6.484E+00	 9.258E+01
   99.0000	 6.764E+00	-2.728E+01	 2.818E+01	-1.394E+01	 2.948E+01	-1.334E+01	 0.000E+00	 6.769E+00	 0.000E+00	 8.660E-01	 4.823E-01	-1.325E-01	 8.186E+01	-6.553E+00	 9.263E+01
  101.7500	 6.784E+00	-2.837E+01	 2.966E+01	-1.624E+01	 2.910E+01	-1.351E+01	 0.000E+00	 6.768E+00	 0.000E+00	 8.659E-01	 4.823E-01	-1.327E-01	 8.193E+01	-6.555E+00	 9.246E+01
  104.5000	 6.768E+00	-2.813E+01	 2.945E+01	-1.652E+01	 2.926E+01	-1.431E+01	 0.000E+00	 6.772E+00	 0.000E+00	 8.660E-01	 4.820E-01	-1.330E-01	 8.215E+01	-6.811E+00	 9.245E+01
  107.2500	 6.808E+00	-2.961E+01	 3.045E+01	-1.284E+01	 2.932E+01	-1.495E+01	 0.000E+00	 6.771E+00	 0.000E+00	 8.664E-01	 4.814E-01	-1.327E-01	 8.217E+01	-6.852E+00	 9.240E+01
  110.0000	 6.766E+00	-2.947E+01	 3.007E+01	-1.104E+01	 2.965E+01	-1.434E+01	 0.000E+00	 6.782E+00	 0.000E+00	 8.666E-01	 4.807E-01	-1.337E-01	 8.252E+01	-7.212E+00	 9.251E+01
  112.7500	 6.813E+00	-2.879E+01	 2.952E+01	-1.225E+01	 2.977E+01	-1.337E+01	 0.000E+00	 6.777E+00	 0.000E+00	 8.670E-01	 4.798E-01	-1.344E-01	 8.274E+01	-7.418E+00	 9.262E+01
  115.5000	 6.793E+00	-2.813E+01	 2.888E+01	-1.251E+01	 2.970E+01	-1.305E+01	 0.000E+00	 6.788E+00	 0.000E+00	 8.677E-01	 4.788E-01	-1.334E-01	 8.298E+01	-7.863E+00	 9.266E+01
  118.2500	 6.826E+00	-2.760E+01	 2.894E+01	-1.678E+01	 2.946E+01	-1.289E+01	 0.000E+00	 6.789E+00	 0.000E+00	 8.684E-01	 4.777E-01	-1.329E-01	 8.314E+01	-8.080E+00	 9.264E+01
  121.0000	 6.817E+00	-2.750E+01	 2.868E+01	-1.580E+01	 2.930E+01	-1.403E+01	 0.000E+00	 6.800E+00	 0.000E+00	 8.690E-01	 4.765E-01	-1.331E-01	 8.326E+01	-8.362E+00	 9.243E+01
  123.7500	 6.817E+00	-2.794E+01	 2.920E+01	-1.617E+01	 2.912E+01	-1.455E+01	 0.000E+00	 6.805E+00	 0.000E+00	 8.698E-01	 4.752E-01	-1.332E-01	 8.321E+01	-8.398E+00	 9.242E+01
  126.5000	 6.818E+00	-2.843E+01	 2.935E+01	-1.371E+01	 2.914E+01	-1.502E+01	 0.000E+00	 6.808E+00	 0.000E+00	 8.705E-01	 4.738E-01	-1.330E-01	 8.319E+01	-8.419E+00	 9.236E+01
  129.2500	 6.808E+00	-2.824E+01	 2.897E+01	-1.240E+01	 2.920E+01	-1.464E+01	 0.000E+00	 6.811E+00	 0.000E+00	 8.713E-01	 4.725E-01	-1.329E-01	 8.329E+01	-8.491E+00	 9.252E+01
  132.0000	 6.827E+00	-2.902E+01	 2.976E+01	-1.218E+01	 2.913E+01	-1.398E+01	 0.000E+00	 6.810E+00	 0.000E+00	 8.719E-01	 4.713E-01	-1.328E-01	 8.335E+01	-8.549E+00	 9.255E+01
  134.7500	 6.794E+00	-2.974E+01	 3.063E+01	-1.320E+01	 2.931E+01	-1.346E+01	 0.000E+00	 6.815E+00	 0.000E+00	 8.724E-01	 4.704E-01	-1.330E-01	 8.353E+01	-8.836E+00	 9.266E+01
  137.5000	 6.844E+00	-3.003E+01	 3.123E+01	-1.520E+01	 2.970E+01	-1.338E+01	 0.000E+00	 6.809E+00	 0.000E+00	 8.726E-01	 4.697E-01	-1.336E-01	 8.347E+01	-8.793E+00	 9.253E+01
  140.2500	 6.804E+00	-2.987E+01	 3.116E+01	-1.574E+01	 3.014E+01	-1.391E+01	 0.000E+00	 6.819E+00	 0.000E+00	 8.728E-01	 4.694E-01	-1.342E-01	 8.357E+01	-9.007E+00	 9.248E+01
  143.0000	 6.834E+00	-2.894E+01	 2.984E+01	-1.350E+01	 3.044E+01	-1.445E+01	 0.000E+00	 6.815E+00	 0.000E+00	 8.728E-01	 4.693E-01	-1.340E-01	 8.352E+01	-9.019E+00	 9.248E+01
  145.7500	 6.810E+00	-2.897E+01	 2.972E+01	-1.236E+01	 3.027E+01	-1.417E+01	 0.000E+00	 6.820E+00	 0.000E+00	 8.728E-01	 4.694E-01	-1.339E-01	 8.359E+01	-9.212E+00	 9.253E+01
  148.5000	 6.804E+00	-2.915E+01	 2.993E+01	-1.251E+01	 3.011E+01	-1.364E+01	 0.000E+00	 6.817E+00	 0.000E+00	 8.725E-01	 4.697E-01	-1.346E-01	 8.355E+01	-9.094E+00	 9.271E+01
  151.2500	 6.792E+00	-2.899E+01	 2.978E+01	-1.266E+01	 3.005E+01	-1.331E+01	 0.000E+00	 6.813E+00	 0.000E+00	 8.723E-01	 4.702E-01	-1.343E-01	 8.333E+01	-8.936E+00	 9.265E+01
  154.0000	 6.793E+00	-2.973E+01	 3.086E+01	-1.483E+01	 2.997E+01	-1.312E+01	 0.000E+00	 6.807E+00	 0.000E+00	 8.719E-01	 4.708E-01	-1.345E-01	 8.313E+01	-8.647E+00	 9.260E+01
  156.7500	 6.805E+00	-2.959E+01	 3.065E+01	-1.442E+01	 3.023E+01	-1.362E+01	 0.000E+00	 6.803E+00	 0.000E+00	 8.714E-01	 4.715E-01	-1.355E-01	 8.301E+01	-8.491E+00	 9.241E+01
  159.5000	 6.774E+00	-3.025E+01	 3.124E+01	-1.379E+01	 3.036E+01	-1.385E+01	 0.000E+00	 6.804E+00	 0.000E+00	 8.710E-01	 4.722E-01	-1.357E-01	 8.294E+01	-8.467E+00	 9.246E+01
  162.2500	 6.806E+00	-2.994E+01	 3.067E+01	-1.196E+01	 3.062E+01	-1.383E+01	 0.000E+00	 6.795E+00	 0.000E+00	 8.706E-01	 4.731E-01	-1.353E-01	 8.271E+01	-8.172E+00	 9.250E+01
  165.0000	 6.762E+00	-2.977E+01	 3.046E+01	-1.166E+01	 3.063E+01	-1.329E+01	 0.000E+00	 6.798E+00	 0.000E+00	 8.701E-01	 4.739E-01	-1.356E-01	 8.274E+01	-8.205E+00	 9.268E+01
  167.7500	 6.802E+00	-3.007E+01	 3.097E+01	-1.319E+01	 3.058E+01	-1.281E+01	 0.000E+00	 6.788E+00	 0.000E+00	 8.697E-01	 4.747E-01	-1.353E-01	 8.249E+01	-7.938E+00	 9.270E+01
  170.5000	 6.780E+00	-2.900E+01	 3.009E+01	-1.476E+01	 3.070E+01	-1.292E+01	 0.000E+00	 6.792E+00	 0.000E+00	 8.693E-01	 4.755E-01	-1.351E-01	 8.241E+01	-7.927E+00	 9.259E+01
  173.2500	 6.804E+00	-2.900E+01	 3.056E+01	-1.765E+01	 3.052E+01	-1.346E+01	 0.000E+00	 6.788E+00	 0.000E+00	 8.689E-01	 4.761E-01	-1.356E-01	 8.222E+01	-7.606E+00	 9.253E+01
  176.0000	 6.794E+00	-2.863E+01	 2.958E+01	-1.389E+01	 3.053E+01	-1.468E+01	 0.000E+00	 6.793E+00	 0.000E+00	 8.687E-01	 4.764E-01	-1.355E-01	 8.208E+01	-7.460E+00	 9.239E+01
  178.7500	 6.786E+00	-2.844E+01	 2.928E+01	-1.317E+01	 3.025E+01	-1.445E+01	 0.000E+00	 6.793E+00	 0.000E+00	 8.686E-01	 4.766E-01	-1.356E-01	 8.195E+01	-7.146E+00	 9.251E+01
  181.5000	 6.794E+00	-2.835E+01	 2.903E+01	-1.198E+01	 2.997E+01	-1.408E+01	 0.000E+00	 6.791E+00	 0.000E+00	 8.686E-01	 4.766E-01	-1.357E-01	 8.179E+01	-6.828E+00	 9.251E+01
  184.2500	 6.785E+00	-2.867E+01	 2.946E+01	-1.266E+01	 2.969E+01	-1.346E+01	 0.000E+00	 6.792E+00	 0.000E+00	 8.688E-01	 4.764E-01	-1.350E-01	 8.168E+01	-6.679E+00	 9.263E+01
  187.0000	 6.807E+00	-2.945E+01	 3.038E+01	-1.356E+01	 2.962E+01	-1.323E+01	 0.000E+00	 6.790E+00	 0.000E+00	 8.689E-01	 4.761E-01	-1.355E-01	 8.159E+01	-6.424E+00	 9.253E+01
  189.7500	 6.779E+00	-3.024E+01	 3.150E+01	-1.553E+01	 2.985E+01	-1.333E+01	 0.000E+00	 6.795E+00	 0.000E+00	 8.690E-01	 4.758E-01	-1.361E-01	 8.172E+01	-6.539E+00	 9.254E+01
  192.5000	 6.828E+00	-2.780E+01	 2.882E+01	-1.466E+01	 3.033E+01	-1.397E+01	 0.000E+00	 6.790E+00	 0.000E+00	 8.693E-01	 4.753E-01	-1.358E-01	 8.165E+01	-6.325E+00	 9.245E+01
  195.2500	 6.790E+00	-2.808E+01	 2.893E+01	-1.339E+01	 2.989E+01	-1.417E+01	 0.000E+00	 6.801E+00	 0.000E+00	 8.696E-01	 4.748E-01	-1.354E-01	 8.174E+01	-6.371E+00	 9.245E+01
